sample	strainID	genus	species	count	count_correct	f_correct
15_B1	HAMBI-0006	Pseudomonas	putida	2355	248	0.01668201152368179
15_B1	HAMBI-0097	Acinetobacter	lwoffii	0	0	0
15_B1	HAMBI-0105	Agrobacterium	tumefaciens	426	1591	0.10705799406637902
15_B1	HAMBI-0262	Brevundimonas	bullata	0	0	0
15_B1	HAMBI-0403	Comamonas	testosteroni	231	262	0.017634724009083426
15_B1	HAMBI-1279	Hafnia	alvei	69	215	0.014486359530467303
15_B1	HAMBI-1287	Citrobacter	koseri	2189	3502	0.2356381449110111
15_B1	HAMBI-1292	Morganella	morganii	89	511	0.03438486783673624
15_B1	HAMBI-1299	Kluyvera	intermedia	23	84	0.005661700392734939
15_B1	HAMBI-1842	Sphingobium	yanoikuyae	147	298	0.020020341983733765
15_B1	HAMBI-1896	Sphingobacterium	spiritivorum	1702	3663	0.2464997383659285
15_B1	HAMBI-1972	Aeromonas	caviae	6788	1658	0.11158838531538919
15_B1	HAMBI-1977	Pseudomonas	chlororaphis	585	1523	0.10248152171429353
15_B1	HAMBI-1988	Chitinophaga	sancti	0	0	0
15_B1	HAMBI-2159	Paraburkholderia	caryophylli	0	0	0
15_B1	HAMBI-2160	Bordetella	avium	38	440	0.02959914719405924
15_B1	HAMBI-2164	Cupriavidus	necator	13	200	0.013488836523656655
15_B1	HAMBI-2443	Paracoccus	denitrificans	12	238	0.01604477582069539
15_B1	HAMBI-2494	Paraburkholderia	kururiensis	6	88	0.005911626328264154
15_B1	HAMBI-2659	Stenotrophomonas	maltophilia	147	197	0.013267928489764219
15_B1	HAMBI-2792	Moraxella	canis	0	0	0
15_B1	HAMBI-3031	Niabella	yanshanensis	34	127	0.008513792956623132
15_B1	HAMBI-3237	Microvirga	lotononidis	6	15	0.0010381030374983862
15_B2	HAMBI-0006	Pseudomonas	putida	2729	305	0.01654801342684409
15_B2	HAMBI-0097	Acinetobacter	lwoffii	0	0	0
15_B2	HAMBI-0105	Agrobacterium	tumefaciens	503	1991	0.10820873282762973
15_B2	HAMBI-0262	Brevundimonas	bullata	0	0	0
15_B2	HAMBI-0403	Comamonas	testosteroni	453	545	0.029603271813795542
15_B2	HAMBI-1279	Hafnia	alvei	114	377	0.02048801312579112
15_B2	HAMBI-1287	Citrobacter	koseri	2878	4880	0.2652011766429966
15_B2	HAMBI-1292	Morganella	morganii	84	511	0.027780589832394533
15_B2	HAMBI-1299	Kluyvera	intermedia	42	163	0.008850201554854194
15_B2	HAMBI-1842	Sphingobium	yanoikuyae	152	326	0.017720769168541883
15_B2	HAMBI-1896	Sphingobacterium	spiritivorum	1652	3769	0.20481029043304066
15_B2	HAMBI-1972	Aeromonas	caviae	8796	2278	0.12377906675551167
15_B2	HAMBI-1977	Pseudomonas	chlororaphis	674	1860	0.10107282849229463
15_B2	HAMBI-1988	Chitinophaga	sancti	0	0	0
15_B2	HAMBI-2159	Paraburkholderia	caryophylli	2	49	0.0026856491636773304
15_B2	HAMBI-2160	Bordetella	avium	32	393	0.02133685489135926
15_B2	HAMBI-2164	Cupriavidus	necator	7	114	0.006217474354127147
15_B2	HAMBI-2443	Paracoccus	denitrificans	12	253	0.013734677837412255
15_B2	HAMBI-2494	Paraburkholderia	kururiensis	7	109	0.005903894494472637
15_B2	HAMBI-2659	Stenotrophomonas	maltophilia	221	314	0.01707508540594037
15_B2	HAMBI-2792	Moraxella	canis	0	0	0
15_B2	HAMBI-3031	Niabella	yanshanensis	35	138	0.007502345065852812
15_B2	HAMBI-3237	Microvirga	lotononidis	10	27	0.0014810647134635873
