sample	strainID	genus	species	count
15_B1	HAMBI-0006	Pseudomonas	putida	2355
15_B1	HAMBI-0097	Acinetobacter	lwoffii	0
15_B1	HAMBI-0105	Agrobacterium	tumefaciens	426
15_B1	HAMBI-0262	Brevundimonas	bullata	0
15_B1	HAMBI-0403	Comamonas	testosteroni	231
15_B1	HAMBI-1279	Hafnia	alvei	69
15_B1	HAMBI-1287	Citrobacter	koseri	2189
15_B1	HAMBI-1292	Morganella	morganii	89
15_B1	HAMBI-1299	Kluyvera	intermedia	23
15_B1	HAMBI-1842	Sphingobium	yanoikuyae	147
15_B1	HAMBI-1896	Sphingobacterium	spiritivorum	1702
15_B1	HAMBI-1972	Aeromonas	caviae	6788
15_B1	HAMBI-1977	Pseudomonas	chlororaphis	585
15_B1	HAMBI-1988	Chitinophaga	sancti	0
15_B1	HAMBI-2159	Paraburkholderia	caryophylli	0
15_B1	HAMBI-2160	Bordetella	avium	38
15_B1	HAMBI-2164	Cupriavidus	necator	13
15_B1	HAMBI-2443	Paracoccus	denitrificans	12
15_B1	HAMBI-2494	Paraburkholderia	kururiensis	6
15_B1	HAMBI-2659	Stenotrophomonas	maltophilia	147
15_B1	HAMBI-2792	Moraxella	canis	0
15_B1	HAMBI-3031	Niabella	yanshanensis	34
15_B1	HAMBI-3237	Microvirga	lotononidis	6
15_B2	HAMBI-0006	Pseudomonas	putida	2729
15_B2	HAMBI-0097	Acinetobacter	lwoffii	0
15_B2	HAMBI-0105	Agrobacterium	tumefaciens	503
15_B2	HAMBI-0262	Brevundimonas	bullata	0
15_B2	HAMBI-0403	Comamonas	testosteroni	453
15_B2	HAMBI-1279	Hafnia	alvei	114
15_B2	HAMBI-1287	Citrobacter	koseri	2878
15_B2	HAMBI-1292	Morganella	morganii	84
15_B2	HAMBI-1299	Kluyvera	intermedia	42
15_B2	HAMBI-1842	Sphingobium	yanoikuyae	152
15_B2	HAMBI-1896	Sphingobacterium	spiritivorum	1652
15_B2	HAMBI-1972	Aeromonas	caviae	8796
15_B2	HAMBI-1977	Pseudomonas	chlororaphis	674
15_B2	HAMBI-1988	Chitinophaga	sancti	0
15_B2	HAMBI-2159	Paraburkholderia	caryophylli	2
15_B2	HAMBI-2160	Bordetella	avium	32
15_B2	HAMBI-2164	Cupriavidus	necator	7
15_B2	HAMBI-2443	Paracoccus	denitrificans	12
15_B2	HAMBI-2494	Paraburkholderia	kururiensis	7
15_B2	HAMBI-2659	Stenotrophomonas	maltophilia	221
15_B2	HAMBI-2792	Moraxella	canis	0
15_B2	HAMBI-3031	Niabella	yanshanensis	35
15_B2	HAMBI-3237	Microvirga	lotononidis	10
15_B3	HAMBI-0006	Pseudomonas	putida	2788
15_B3	HAMBI-0097	Acinetobacter	lwoffii	0
15_B3	HAMBI-0105	Agrobacterium	tumefaciens	461
15_B3	HAMBI-0262	Brevundimonas	bullata	0
15_B3	HAMBI-0403	Comamonas	testosteroni	526
15_B3	HAMBI-1279	Hafnia	alvei	86
15_B3	HAMBI-1287	Citrobacter	koseri	2285
15_B3	HAMBI-1292	Morganella	morganii	84
15_B3	HAMBI-1299	Kluyvera	intermedia	36
15_B3	HAMBI-1842	Sphingobium	yanoikuyae	138
15_B3	HAMBI-1896	Sphingobacterium	spiritivorum	1496
15_B3	HAMBI-1972	Aeromonas	caviae	7200
15_B3	HAMBI-1977	Pseudomonas	chlororaphis	435
15_B3	HAMBI-1988	Chitinophaga	sancti	0
15_B3	HAMBI-2159	Paraburkholderia	caryophylli	1
15_B3	HAMBI-2160	Bordetella	avium	57
15_B3	HAMBI-2164	Cupriavidus	necator	4
15_B3	HAMBI-2443	Paracoccus	denitrificans	22
15_B3	HAMBI-2494	Paraburkholderia	kururiensis	5
15_B3	HAMBI-2659	Stenotrophomonas	maltophilia	265
15_B3	HAMBI-2792	Moraxella	canis	0
15_B3	HAMBI-3031	Niabella	yanshanensis	48
15_B3	HAMBI-3237	Microvirga	lotononidis	5
15_B4	HAMBI-0006	Pseudomonas	putida	2401
15_B4	HAMBI-0097	Acinetobacter	lwoffii	0
15_B4	HAMBI-0105	Agrobacterium	tumefaciens	436
15_B4	HAMBI-0262	Brevundimonas	bullata	0
15_B4	HAMBI-0403	Comamonas	testosteroni	550
15_B4	HAMBI-1279	Hafnia	alvei	78
15_B4	HAMBI-1287	Citrobacter	koseri	2469
15_B4	HAMBI-1292	Morganella	morganii	99
15_B4	HAMBI-1299	Kluyvera	intermedia	39
15_B4	HAMBI-1842	Sphingobium	yanoikuyae	162
15_B4	HAMBI-1896	Sphingobacterium	spiritivorum	1315
15_B4	HAMBI-1972	Aeromonas	caviae	7325
15_B4	HAMBI-1977	Pseudomonas	chlororaphis	571
15_B4	HAMBI-1988	Chitinophaga	sancti	0
15_B4	HAMBI-2159	Paraburkholderia	caryophylli	0
15_B4	HAMBI-2160	Bordetella	avium	46
15_B4	HAMBI-2164	Cupriavidus	necator	5
15_B4	HAMBI-2443	Paracoccus	denitrificans	41
15_B4	HAMBI-2494	Paraburkholderia	kururiensis	2
15_B4	HAMBI-2659	Stenotrophomonas	maltophilia	207
15_B4	HAMBI-2792	Moraxella	canis	0
15_B4	HAMBI-3031	Niabella	yanshanensis	41
15_B4	HAMBI-3237	Microvirga	lotononidis	7
15_B5	HAMBI-0006	Pseudomonas	putida	2034
15_B5	HAMBI-0097	Acinetobacter	lwoffii	0
15_B5	HAMBI-0105	Agrobacterium	tumefaciens	383
15_B5	HAMBI-0262	Brevundimonas	bullata	0
15_B5	HAMBI-0403	Comamonas	testosteroni	262
15_B5	HAMBI-1279	Hafnia	alvei	85
15_B5	HAMBI-1287	Citrobacter	koseri	2150
15_B5	HAMBI-1292	Morganella	morganii	82
15_B5	HAMBI-1299	Kluyvera	intermedia	32
15_B5	HAMBI-1842	Sphingobium	yanoikuyae	244
15_B5	HAMBI-1896	Sphingobacterium	spiritivorum	1320
15_B5	HAMBI-1972	Aeromonas	caviae	5777
15_B5	HAMBI-1977	Pseudomonas	chlororaphis	1210
15_B5	HAMBI-1988	Chitinophaga	sancti	0
15_B5	HAMBI-2159	Paraburkholderia	caryophylli	1
15_B5	HAMBI-2160	Bordetella	avium	37
15_B5	HAMBI-2164	Cupriavidus	necator	9
15_B5	HAMBI-2443	Paracoccus	denitrificans	21
15_B5	HAMBI-2494	Paraburkholderia	kururiensis	9
15_B5	HAMBI-2659	Stenotrophomonas	maltophilia	213
15_B5	HAMBI-2792	Moraxella	canis	0
15_B5	HAMBI-3031	Niabella	yanshanensis	39
15_B5	HAMBI-3237	Microvirga	lotononidis	4
15_B6	HAMBI-0006	Pseudomonas	putida	1767
15_B6	HAMBI-0097	Acinetobacter	lwoffii	0
15_B6	HAMBI-0105	Agrobacterium	tumefaciens	382
15_B6	HAMBI-0262	Brevundimonas	bullata	0
15_B6	HAMBI-0403	Comamonas	testosteroni	308
15_B6	HAMBI-1279	Hafnia	alvei	68
15_B6	HAMBI-1287	Citrobacter	koseri	2004
15_B6	HAMBI-1292	Morganella	morganii	64
15_B6	HAMBI-1299	Kluyvera	intermedia	34
15_B6	HAMBI-1842	Sphingobium	yanoikuyae	94
15_B6	HAMBI-1896	Sphingobacterium	spiritivorum	1132
15_B6	HAMBI-1972	Aeromonas	caviae	5422
15_B6	HAMBI-1977	Pseudomonas	chlororaphis	937
15_B6	HAMBI-1988	Chitinophaga	sancti	0
15_B6	HAMBI-2159	Paraburkholderia	caryophylli	2
15_B6	HAMBI-2160	Bordetella	avium	25
15_B6	HAMBI-2164	Cupriavidus	necator	4
15_B6	HAMBI-2443	Paracoccus	denitrificans	8
15_B6	HAMBI-2494	Paraburkholderia	kururiensis	5
15_B6	HAMBI-2659	Stenotrophomonas	maltophilia	162
15_B6	HAMBI-2792	Moraxella	canis	0
15_B6	HAMBI-3031	Niabella	yanshanensis	30
15_B6	HAMBI-3237	Microvirga	lotononidis	5
15_BS1	HAMBI-0006	Pseudomonas	putida	2151
15_BS1	HAMBI-0097	Acinetobacter	lwoffii	0
15_BS1	HAMBI-0105	Agrobacterium	tumefaciens	1343
15_BS1	HAMBI-0262	Brevundimonas	bullata	0
15_BS1	HAMBI-0403	Comamonas	testosteroni	568
15_BS1	HAMBI-1279	Hafnia	alvei	59
15_BS1	HAMBI-1287	Citrobacter	koseri	5749
15_BS1	HAMBI-1292	Morganella	morganii	100
15_BS1	HAMBI-1299	Kluyvera	intermedia	40
15_BS1	HAMBI-1842	Sphingobium	yanoikuyae	2230
15_BS1	HAMBI-1896	Sphingobacterium	spiritivorum	2522
15_BS1	HAMBI-1972	Aeromonas	caviae	5334
15_BS1	HAMBI-1977	Pseudomonas	chlororaphis	6099
15_BS1	HAMBI-1988	Chitinophaga	sancti	0
15_BS1	HAMBI-2159	Paraburkholderia	caryophylli	1
15_BS1	HAMBI-2160	Bordetella	avium	84
15_BS1	HAMBI-2164	Cupriavidus	necator	15
15_BS1	HAMBI-2443	Paracoccus	denitrificans	20
15_BS1	HAMBI-2494	Paraburkholderia	kururiensis	21
15_BS1	HAMBI-2659	Stenotrophomonas	maltophilia	373
15_BS1	HAMBI-2792	Moraxella	canis	0
15_BS1	HAMBI-3031	Niabella	yanshanensis	94
15_BS1	HAMBI-3237	Microvirga	lotononidis	11
15_BS2	HAMBI-0006	Pseudomonas	putida	1837
15_BS2	HAMBI-0097	Acinetobacter	lwoffii	0
15_BS2	HAMBI-0105	Agrobacterium	tumefaciens	1172
15_BS2	HAMBI-0262	Brevundimonas	bullata	0
15_BS2	HAMBI-0403	Comamonas	testosteroni	667
15_BS2	HAMBI-1279	Hafnia	alvei	63
15_BS2	HAMBI-1287	Citrobacter	koseri	5679
15_BS2	HAMBI-1292	Morganella	morganii	60
15_BS2	HAMBI-1299	Kluyvera	intermedia	29
15_BS2	HAMBI-1842	Sphingobium	yanoikuyae	803
15_BS2	HAMBI-1896	Sphingobacterium	spiritivorum	2159
15_BS2	HAMBI-1972	Aeromonas	caviae	4882
15_BS2	HAMBI-1977	Pseudomonas	chlororaphis	5066
15_BS2	HAMBI-1988	Chitinophaga	sancti	0
15_BS2	HAMBI-2159	Paraburkholderia	caryophylli	8
15_BS2	HAMBI-2160	Bordetella	avium	63
15_BS2	HAMBI-2164	Cupriavidus	necator	10
15_BS2	HAMBI-2443	Paracoccus	denitrificans	21
15_BS2	HAMBI-2494	Paraburkholderia	kururiensis	17
15_BS2	HAMBI-2659	Stenotrophomonas	maltophilia	354
15_BS2	HAMBI-2792	Moraxella	canis	0
15_BS2	HAMBI-3031	Niabella	yanshanensis	66
15_BS2	HAMBI-3237	Microvirga	lotononidis	9
15_BS3	HAMBI-0006	Pseudomonas	putida	1404
15_BS3	HAMBI-0097	Acinetobacter	lwoffii	0
15_BS3	HAMBI-0105	Agrobacterium	tumefaciens	925
15_BS3	HAMBI-0262	Brevundimonas	bullata	0
15_BS3	HAMBI-0403	Comamonas	testosteroni	612
15_BS3	HAMBI-1279	Hafnia	alvei	80
15_BS3	HAMBI-1287	Citrobacter	koseri	7482
15_BS3	HAMBI-1292	Morganella	morganii	141
15_BS3	HAMBI-1299	Kluyvera	intermedia	39
15_BS3	HAMBI-1842	Sphingobium	yanoikuyae	1271
15_BS3	HAMBI-1896	Sphingobacterium	spiritivorum	2683
15_BS3	HAMBI-1972	Aeromonas	caviae	3784
15_BS3	HAMBI-1977	Pseudomonas	chlororaphis	4349
15_BS3	HAMBI-1988	Chitinophaga	sancti	0
15_BS3	HAMBI-2159	Paraburkholderia	caryophylli	1
15_BS3	HAMBI-2160	Bordetella	avium	75
15_BS3	HAMBI-2164	Cupriavidus	necator	15
15_BS3	HAMBI-2443	Paracoccus	denitrificans	8
15_BS3	HAMBI-2494	Paraburkholderia	kururiensis	16
15_BS3	HAMBI-2659	Stenotrophomonas	maltophilia	301
15_BS3	HAMBI-2792	Moraxella	canis	0
15_BS3	HAMBI-3031	Niabella	yanshanensis	110
15_BS3	HAMBI-3237	Microvirga	lotononidis	8
15_BS4	HAMBI-0006	Pseudomonas	putida	1601
15_BS4	HAMBI-0097	Acinetobacter	lwoffii	0
15_BS4	HAMBI-0105	Agrobacterium	tumefaciens	1107
15_BS4	HAMBI-0262	Brevundimonas	bullata	0
15_BS4	HAMBI-0403	Comamonas	testosteroni	777
15_BS4	HAMBI-1279	Hafnia	alvei	105
15_BS4	HAMBI-1287	Citrobacter	koseri	9992
15_BS4	HAMBI-1292	Morganella	morganii	107
15_BS4	HAMBI-1299	Kluyvera	intermedia	29
15_BS4	HAMBI-1842	Sphingobium	yanoikuyae	1445
15_BS4	HAMBI-1896	Sphingobacterium	spiritivorum	2849
15_BS4	HAMBI-1972	Aeromonas	caviae	5197
15_BS4	HAMBI-1977	Pseudomonas	chlororaphis	3736
15_BS4	HAMBI-1988	Chitinophaga	sancti	0
15_BS4	HAMBI-2159	Paraburkholderia	caryophylli	1
15_BS4	HAMBI-2160	Bordetella	avium	97
15_BS4	HAMBI-2164	Cupriavidus	necator	14
15_BS4	HAMBI-2443	Paracoccus	denitrificans	12
15_BS4	HAMBI-2494	Paraburkholderia	kururiensis	24
15_BS4	HAMBI-2659	Stenotrophomonas	maltophilia	434
15_BS4	HAMBI-2792	Moraxella	canis	0
15_BS4	HAMBI-3031	Niabella	yanshanensis	58
15_BS4	HAMBI-3237	Microvirga	lotononidis	10
15_BS5	HAMBI-0006	Pseudomonas	putida	434
15_BS5	HAMBI-0097	Acinetobacter	lwoffii	0
15_BS5	HAMBI-0105	Agrobacterium	tumefaciens	387
15_BS5	HAMBI-0262	Brevundimonas	bullata	0
15_BS5	HAMBI-0403	Comamonas	testosteroni	318
15_BS5	HAMBI-1279	Hafnia	alvei	13
15_BS5	HAMBI-1287	Citrobacter	koseri	3852
15_BS5	HAMBI-1292	Morganella	morganii	49
15_BS5	HAMBI-1299	Kluyvera	intermedia	7
15_BS5	HAMBI-1842	Sphingobium	yanoikuyae	491
15_BS5	HAMBI-1896	Sphingobacterium	spiritivorum	1628
15_BS5	HAMBI-1972	Aeromonas	caviae	2005
15_BS5	HAMBI-1977	Pseudomonas	chlororaphis	767
15_BS5	HAMBI-1988	Chitinophaga	sancti	0
15_BS5	HAMBI-2159	Paraburkholderia	caryophylli	0
15_BS5	HAMBI-2160	Bordetella	avium	38
15_BS5	HAMBI-2164	Cupriavidus	necator	6
15_BS5	HAMBI-2443	Paracoccus	denitrificans	0
15_BS5	HAMBI-2494	Paraburkholderia	kururiensis	7
15_BS5	HAMBI-2659	Stenotrophomonas	maltophilia	189
15_BS5	HAMBI-2792	Moraxella	canis	0
15_BS5	HAMBI-3031	Niabella	yanshanensis	27
15_BS5	HAMBI-3237	Microvirga	lotononidis	2
15_BS6	HAMBI-0006	Pseudomonas	putida	634
15_BS6	HAMBI-0097	Acinetobacter	lwoffii	0
15_BS6	HAMBI-0105	Agrobacterium	tumefaciens	700
15_BS6	HAMBI-0262	Brevundimonas	bullata	0
15_BS6	HAMBI-0403	Comamonas	testosteroni	573
15_BS6	HAMBI-1279	Hafnia	alvei	12
15_BS6	HAMBI-1287	Citrobacter	koseri	6177
15_BS6	HAMBI-1292	Morganella	morganii	56
15_BS6	HAMBI-1299	Kluyvera	intermedia	12
15_BS6	HAMBI-1842	Sphingobium	yanoikuyae	576
15_BS6	HAMBI-1896	Sphingobacterium	spiritivorum	1151
15_BS6	HAMBI-1972	Aeromonas	caviae	2694
15_BS6	HAMBI-1977	Pseudomonas	chlororaphis	510
15_BS6	HAMBI-1988	Chitinophaga	sancti	0
15_BS6	HAMBI-2159	Paraburkholderia	caryophylli	0
15_BS6	HAMBI-2160	Bordetella	avium	48
15_BS6	HAMBI-2164	Cupriavidus	necator	7
15_BS6	HAMBI-2443	Paracoccus	denitrificans	5
15_BS6	HAMBI-2494	Paraburkholderia	kururiensis	18
15_BS6	HAMBI-2659	Stenotrophomonas	maltophilia	324
15_BS6	HAMBI-2792	Moraxella	canis	0
15_BS6	HAMBI-3031	Niabella	yanshanensis	41
