bioscreen_plate	bioscreen_well	plate	well	strep_conc	strainID	evolution
1	1	1	A01	0	HAMBI_1287	anc
1	2	1	A02	0	HAMBI_1287	anc
1	3	1	A03	0	HAMBI_1287	anc
1	4	1	A04	0	HAMBI_1287	anc
1	5	1	A05	0	HAMBI_1287	anc
1	6	1	A06	0	HAMBI_1287	evo
1	7	1	A07	0	HAMBI_1287	evo
1	8	1	A08	0	HAMBI_1287	evo
1	9	1	A09	0	HAMBI_1287	evo
1	10	1	A10	0	HAMBI_1287	evo
1	11	1	A11	0	HAMBI_1977	anc
1	12	1	A12	0	HAMBI_1977	anc
1	13	1	B01	0	HAMBI_1977	anc
1	14	1	B02	0	HAMBI_1977	anc
1	15	1	B03	0	HAMBI_1977	anc
1	16	1	B04	0	HAMBI_1977	evo
1	17	1	B05	0	HAMBI_1977	evo
1	18	1	B06	0	HAMBI_1977	evo
1	19	1	B07	0	HAMBI_1977	evo
1	20	1	B08	0	HAMBI_1977	evo
1	21	1	B09	1	HAMBI_1287	anc
1	22	1	B10	1	HAMBI_1287	anc
1	23	1	B11	1	HAMBI_1287	anc
1	24	1	B12	1	HAMBI_1287	anc
1	25	1	C01	1	HAMBI_1287	anc
1	26	1	C02	1	HAMBI_1287	evo
1	27	1	C03	1	HAMBI_1287	evo
1	28	1	C04	1	HAMBI_1287	evo
1	29	1	C05	1	HAMBI_1287	evo
1	30	1	C06	1	HAMBI_1287	evo
1	31	1	C07	1	HAMBI_1977	anc
1	32	1	C08	1	HAMBI_1977	anc
1	33	1	C09	1	HAMBI_1977	anc
1	34	1	C10	1	HAMBI_1977	anc
1	35	1	C11	1	HAMBI_1977	anc
1	36	1	C12	1	HAMBI_1977	evo
1	37	1	D01	1	HAMBI_1977	evo
1	38	1	D02	1	HAMBI_1977	evo
1	39	1	D03	1	HAMBI_1977	evo
1	40	1	D04	1	HAMBI_1977	evo
1	41	1	D05	2.5	HAMBI_1287	anc
1	42	1	D06	2.5	HAMBI_1287	anc
1	43	1	D07	2.5	HAMBI_1287	anc
1	44	1	D08	2.5	HAMBI_1287	anc
1	45	1	D09	2.5	HAMBI_1287	anc
1	46	1	D10	2.5	HAMBI_1287	evo
1	47	1	D11	2.5	HAMBI_1287	evo
1	48	1	D12	2.5	HAMBI_1287	evo
1	49	1	E01	2.5	HAMBI_1287	evo
1	50	1	E02	2.5	HAMBI_1287	evo
1	51	1	E03	2.5	HAMBI_1977	anc
1	52	1	E04	2.5	HAMBI_1977	anc
1	53	1	E05	2.5	HAMBI_1977	anc
1	54	1	E06	2.5	HAMBI_1977	anc
1	55	1	E07	2.5	HAMBI_1977	anc
1	56	1	E08	2.5	HAMBI_1977	evo
1	57	1	E09	2.5	HAMBI_1977	evo
1	58	1	E10	2.5	HAMBI_1977	evo
1	59	1	E11	2.5	HAMBI_1977	evo
1	60	1	E12	2.5	HAMBI_1977	evo
1	61	1	F01	5	HAMBI_1287	anc
1	62	1	F02	5	HAMBI_1287	anc
1	63	1	F03	5	HAMBI_1287	anc
1	64	1	F04	5	HAMBI_1287	anc
1	65	1	F05	5	HAMBI_1287	anc
1	66	1	F06	5	HAMBI_1287	evo
1	67	1	F07	5	HAMBI_1287	evo
1	68	1	F08	5	HAMBI_1287	evo
1	69	1	F09	5	HAMBI_1287	evo
1	70	1	F10	5	HAMBI_1287	evo
1	71	1	F11	5	HAMBI_1977	anc
1	72	1	F12	5	HAMBI_1977	anc
1	73	1	G01	5	HAMBI_1977	anc
1	74	1	G02	5	HAMBI_1977	anc
1	75	1	G03	5	HAMBI_1977	anc
1	76	1	G04	5	HAMBI_1977	evo
1	77	1	G05	5	HAMBI_1977	evo
1	78	1	G06	5	HAMBI_1977	evo
1	79	1	G07	5	HAMBI_1977	evo
1	80	1	G08	5	HAMBI_1977	evo
1	81	1	G09	12.5	HAMBI_1287	anc
1	82	1	G10	12.5	HAMBI_1287	anc
1	83	1	G11	12.5	HAMBI_1287	anc
1	84	1	G12	12.5	HAMBI_1287	anc
1	85	1	H01	12.5	HAMBI_1287	anc
1	86	1	H02	12.5	HAMBI_1287	evo
1	87	1	H03	12.5	HAMBI_1287	evo
1	88	1	H04	12.5	HAMBI_1287	evo
1	89	1	H05	12.5	HAMBI_1287	evo
1	90	1	H06	12.5	HAMBI_1287	evo
1	91	1	H07	12.5	HAMBI_1977	anc
1	92	1	H08	12.5	HAMBI_1977	anc
1	93	1	H09	12.5	HAMBI_1977	anc
1	94	1	H10	12.5	HAMBI_1977	anc
1	95	1	H11	12.5	HAMBI_1977	anc
1	96	1	H12	12.5	HAMBI_1977	evo
1	97	2	A01	12.5	HAMBI_1977	evo
1	98	2	A02	12.5	HAMBI_1977	evo
1	99	2	A03	12.5	HAMBI_1977	evo
1	100	2	A04	12.5	HAMBI_1977	evo
2	101	2	A05	25	HAMBI_1287	anc
2	102	2	A06	25	HAMBI_1287	anc
2	103	2	A07	25	HAMBI_1287	anc
2	104	2	A08	25	HAMBI_1287	anc
2	105	2	A09	25	HAMBI_1287	anc
2	106	2	A10	25	HAMBI_1287	evo
2	107	2	A11	25	HAMBI_1287	evo
2	108	2	A12	25	HAMBI_1287	evo
2	109	2	B01	25	HAMBI_1287	evo
2	110	2	B02	25	HAMBI_1287	evo
2	111	2	B03	25	HAMBI_1977	anc
2	112	2	B04	25	HAMBI_1977	anc
2	113	2	B05	25	HAMBI_1977	anc
2	114	2	B06	25	HAMBI_1977	anc
2	115	2	B07	25	HAMBI_1977	anc
2	116	2	B08	25	HAMBI_1977	evo
2	117	2	B09	25	HAMBI_1977	evo
2	118	2	B10	25	HAMBI_1977	evo
2	119	2	B11	25	HAMBI_1977	evo
2	120	2	B12	25	HAMBI_1977	evo
2	121	2	C01	50	HAMBI_1287	anc
2	122	2	C02	50	HAMBI_1287	anc
2	123	2	C03	50	HAMBI_1287	anc
2	124	2	C04	50	HAMBI_1287	anc
2	125	2	C05	50	HAMBI_1287	anc
2	126	2	C06	50	HAMBI_1287	evo
2	127	2	C07	50	HAMBI_1287	evo
2	128	2	C08	50	HAMBI_1287	evo
2	129	2	C09	50	HAMBI_1287	evo
